symbol,date,news_volume,news_tone
ETHUSDT,2022-04-30,9,1.4544149882099104
ETHUSDT,2022-05-01,4,-0.79547742692829493
ETHUSDT,2022-05-02,11,1.8144960725039168
ETHUSDT,2022-05-03,12,1.4138903055000172
ETHUSDT,2022-05-04,13,1.1463516465393777
ETHUSDT,2022-05-05,7,1.4011421498131558
ETHUSDT,2022-05-06,19,1.6674335057750085
ETHUSDT,2022-05-07,3,-0.17460439371193304
ETHUSDT,2022-05-08,6,2.74065237691941
ETHUSDT,2022-05-09,17,-0.030840677669717258
ETHUSDT,2022-05-10,35,0.60530997669484687
ETHUSDT,2022-05-11,9,-0.37272270807208585
ETHUSDT,2022-05-12,24,1.2026419025827533
ETHUSDT,2022-05-13,11,-0.39427782160610914
ETHUSDT,2022-05-14,2,1.755655978354729
ETHUSDT,2022-05-15,2,-0.54661873146666
ETHUSDT,2022-05-16,8,0.11054000689021731
ETHUSDT,2022-05-17,33,0.75693603965575063
ETHUSDT,2022-05-18,17,1.4830645890216188
ETHUSDT,2022-05-19,13,1.7238295356802833
ETHUSDT,2022-05-20,12,0.71398880146463028
ETHUSDT,2022-05-21,17,-1.4868736462275423
ETHUSDT,2022-05-22,2,-1.9997690353375948
ETHUSDT,2022-05-23,26,0.59188610059902846
ETHUSDT,2022-05-24,19,-0.12242469153704702
ETHUSDT,2022-05-25,14,0.78628801172044682
ETHUSDT,2022-05-26,20,0.79175239040069645
ETHUSDT,2022-05-27,21,0.860347732528976
ETHUSDT,2022-05-28,10,1.6161068769805955
ETHUSDT,2022-05-29,11,-0.065779540639414727
ETHUSDT,2022-05-30,15,0.59509378981758465
ETHUSDT,2022-05-31,16,0.54079365880667873
ETHUSDT,2022-06-01,11,0.93524247675681793
ETHUSDT,2022-06-02,16,1.3393164118167691
ETHUSDT,2022-06-03,12,-0.45177288666381088
ETHUSDT,2022-06-04,3,1.3166192538664587
ETHUSDT,2022-06-05,2,2.38839374925063
ETHUSDT,2022-06-06,13,-1.4864680089910622
ETHUSDT,2022-06-07,16,2.5514566394452896
ETHUSDT,2022-06-08,21,1.9136647645176081
ETHUSDT,2022-06-09,25,0.26387034814440213
ETHUSDT,2022-06-10,25,0.50278490792370745
ETHUSDT,2022-06-11,3,-1.9882823137623633
ETHUSDT,2022-06-12,6,-0.0477891139540078
ETHUSDT,2022-06-13,32,-0.86107667381585684
ETHUSDT,2022-06-14,23,1.0464656679685589
ETHUSDT,2022-06-15,28,0.80509699018113368
ETHUSDT,2022-06-16,9,0.5515255512880004
ETHUSDT,2022-06-17,19,-0.38361153396906483
ETHUSDT,2022-06-18,11,-1.4873359607180947
ETHUSDT,2022-06-19,3,-1.6301134003200466
ETHUSDT,2022-06-20,13,-0.89719652315418719
ETHUSDT,2022-06-21,7,0.29862223508225488
ETHUSDT,2022-06-22,6,-0.24472402243554753
ETHUSDT,2022-06-23,4,0.45386991760231488
ETHUSDT,2022-06-24,6,-1.3163388115296148
ETHUSDT,2022-06-25,10,-0.40088281841820173
ETHUSDT,2022-06-26,3,-2.3330736437717317
ETHUSDT,2022-06-27,7,-1.3605001234619678
ETHUSDT,2022-06-28,22,-0.254413490894554
ETHUSDT,2022-06-29,17,-1.2833367819653314
ETHUSDT,2022-06-30,10,-0.53382774290939028
ETHUSDT,2022-07-01,15,-0.3018928563525366
ETHUSDT,2022-07-02,5,-2.4121741889154493
ETHUSDT,2022-07-04,8,1.6297305303361085
ETHUSDT,2022-07-05,13,1.116308653821835
ETHUSDT,2022-07-06,14,0.005914640115811387
ETHUSDT,2022-07-07,12,-0.28409405219997053
ETHUSDT,2022-07-08,20,-0.39387576692065429
ETHUSDT,2022-07-09,8,0.96922194744249124
ETHUSDT,2022-07-10,5,-2.0919488272997944
ETHUSDT,2022-07-11,8,-0.74232259762266617
ETHUSDT,2022-07-12,20,1.0247099521981509
ETHUSDT,2022-07-13,16,-0.3892551901868595
ETHUSDT,2022-07-14,21,-0.04133645554922348
ETHUSDT,2022-07-15,8,-0.58217721807508593
ETHUSDT,2022-07-16,4,-1.7163490069259519
ETHUSDT,2022-07-17,2,0.686662272028126
ETHUSDT,2022-07-18,22,0.024735561869878658
ETHUSDT,2022-07-19,18,-0.23038139700573765
ETHUSDT,2022-07-20,16,0.88169265433900024
ETHUSDT,2022-07-21,13,0.41348429600443881
ETHUSDT,2022-07-22,12,-0.80426014648401389
ETHUSDT,2022-07-23,6,-0.017782791559598166
ETHUSDT,2022-07-24,10,2.0113011226048769
ETHUSDT,2022-07-25,14,0.22887664031834742
ETHUSDT,2022-07-26,17,0.794678063754394
ETHUSDT,2022-07-27,9,1.6890205987823468
ETHUSDT,2022-07-28,28,1.2600122754215319
ETHUSDT,2022-07-29,22,0.90877317494231569
ETHUSDT,2022-07-30,6,0.097542994921126391
ETHUSDT,2022-07-31,5,0.4430971997908143
ETHUSDT,2022-08-01,11,0.19922358558737929
ETHUSDT,2022-08-02,17,0.34533886093487254
ETHUSDT,2022-08-03,25,0.84913079720109741
ETHUSDT,2022-08-04,25,0.66958592018382268
ETHUSDT,2022-08-05,32,0.87526438918085936
ETHUSDT,2022-08-06,16,0.5800846402469213
ETHUSDT,2022-08-07,9,-0.34358960342303146
ETHUSDT,2022-08-08,27,-0.12028179701277986
ETHUSDT,2022-08-09,23,-0.10878533946834057
ETHUSDT,2022-08-10,23,0.39354836694472961
ETHUSDT,2022-08-11,55,1.0222934021359313
ETHUSDT,2022-08-12,37,0.78820809776775735
ETHUSDT,2022-08-13,6,0.53283973553813746
ETHUSDT,2022-08-14,11,-0.90923511135874069
ETHUSDT,2022-08-15,17,-0.012876199936417754
